year/month,AGRI,ARTS,BIOC,BUSI,CENG,CHEM,COMP,DECI,DENT,EART,ECON,ENER,ENGI,ENVI,HEAL,IMMU,MATE,MATH,MEDI,MULT,NEUR,NURS,PHAR,PHYS,PSYC,SOCI,VETE
2018/01,15.0,6.0,26.0,3.0,17.0,25.0,22.0,0.0,7.0,5.0,0.0,3.0,31.0,12.0,2.0,8.0,28.0,5.0,65.0,2.0,11.0,3.0,24.0,23.0,4.0,18.0,2.0
2018/02,10.0,0.0,19.0,4.0,17.0,25.0,4.0,2.0,6.0,4.0,2.0,1.0,21.0,12.0,1.0,7.0,17.0,4.0,33.0,0.0,7.0,5.0,9.0,20.0,2.0,6.0,5.0
2018/03,20.0,3.0,21.0,3.0,16.0,22.0,11.0,1.0,3.0,6.0,2.0,10.0,32.0,12.0,0.0,16.0,19.0,5.0,49.0,2.0,7.0,2.0,8.0,25.0,2.0,9.0,18.0
2018/04,14.0,1.0,24.0,3.0,15.0,20.0,9.0,0.0,3.0,7.0,2.0,5.0,20.0,18.0,5.0,12.0,14.0,3.0,56.0,3.0,12.0,2.0,11.0,30.0,1.0,9.0,3.0
2018/05,9.0,0.0,25.0,2.0,10.0,22.0,7.0,1.0,8.0,7.0,0.0,4.0,19.0,11.0,1.0,10.0,17.0,4.0,49.0,4.0,6.0,1.0,11.0,30.0,1.0,5.0,4.0
2018/06,21.0,2.0,22.0,9.0,10.0,19.0,17.0,8.0,3.0,7.0,1.0,4.0,40.0,13.0,2.0,12.0,24.0,10.0,48.0,4.0,4.0,2.0,4.0,32.0,3.0,11.0,9.0
2018/07,20.0,2.0,31.0,2.0,16.0,24.0,16.0,1.0,4.0,8.0,3.0,6.0,39.0,14.0,1.0,13.0,17.0,11.0,44.0,8.0,3.0,2.0,9.0,28.0,2.0,16.0,1.0
2018/08,18.0,4.0,22.0,3.0,6.0,24.0,20.0,5.0,2.0,8.0,2.0,5.0,29.0,8.0,4.0,5.0,18.0,10.0,51.0,6.0,7.0,0.0,4.0,29.0,0.0,11.0,3.0
2018/09,13.0,2.0,30.0,0.0,9.0,18.0,22.0,1.0,2.0,8.0,0.0,8.0,20.0,13.0,1.0,17.0,19.0,6.0,43.0,5.0,4.0,1.0,8.0,32.0,0.0,8.0,17.0
2018/10,23.0,0.0,19.0,3.0,19.0,20.0,5.0,2.0,0.0,4.0,3.0,11.0,19.0,15.0,2.0,8.0,18.0,4.0,46.0,5.0,3.0,3.0,10.0,26.0,2.0,6.0,4.0
2018/11,21.0,1.0,33.0,6.0,8.0,17.0,15.0,2.0,1.0,5.0,4.0,9.0,24.0,12.0,0.0,8.0,14.0,5.0,44.0,6.0,1.0,2.0,3.0,34.0,0.0,8.0,3.0
2018/12,17.0,0.0,28.0,4.0,14.0,19.0,21.0,4.0,4.0,10.0,4.0,10.0,33.0,14.0,1.0,16.0,19.0,5.0,48.0,34.0,6.0,4.0,7.0,45.0,0.0,4.0,15.0
2019/01,12.0,7.0,26.0,10.0,25.0,34.0,35.0,3.0,5.0,12.0,3.0,13.0,46.0,30.0,5.0,11.0,21.0,30.0,77.0,8.0,8.0,2.0,9.0,58.0,1.0,31.0,2.0
2019/02,11.0,0.0,22.0,2.0,17.0,19.0,17.0,2.0,0.0,5.0,2.0,10.0,31.0,11.0,4.0,5.0,18.0,0.0,47.0,3.0,5.0,3.0,7.0,23.0,2.0,1.0,3.0
